guiding_case_id,case_type_id
guiding_case_2292,case_type_8960dd8c1a76
guiding_case_6379,case_type_856b38ccbb62
guiding_case_12931,case_type_6bedf2b0134a
guiding_case_2626,case_type_5c93c6ee7aea
guiding_case_714,case_type_36ba9d105213
