id,guiding_case_number,name,issuing_court_id,publication_date,guiding_points,binding_force,source_url,tags,trial_procedure,trial_level,source,desensitize,create_time,update_time
guiding_case_2292,2024-12-3-021-005,行政-不履行XX职责-2024-12-3-021-005,court_104b0f3210fb,2022-07-01,1.规范性文件不得违反上位法的规定。人民法院在审理单独行政行为诉讼案件时，应当对行政行为依据的规范性文件进行合法性审查。经审查认为不合法的，不得作为认定行政行为合法的依据。 2.在不履行给付基本医疗保险金职责之诉中，地方性规范性文件对产生交通事故的责任类型未予区分，突破上位法将不予补偿范围仅限定于应当由第三人负担范围内的规定的，人民法院不应予以参照适用。,mandatory,https://rmfyalk.court.gov.cn,"行政,不履行给付基本医疗保险金职责,上位法规定,地方规范性文件,主动审查",再审,second_instance,人民法院案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
guiding_case_6379,D2025-161-1-053-677,民事-相邻关系纠纷-D2025-161-1-053-677,court_fa7dd45e462f,2025-10-16,\N,persuasive,https://dyjfalk.court.gov.cn/site/case/2a0b8503-f748-4ebc-8a96-bb5138cb3a28,"民事,相邻关系纠纷,违规搭建阳台,“住建+法院+社区”联动化解",,,多元解纷案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
guiding_case_12931,2024-18-1-179-006,刑事-故意伤害罪-2024-18-1-179-006,court_0bdda3636e00,2022-11-09,1.对于因学生霸凌引发的防卫行为与相互斗殴的界分，应当坚持主客观相统一原则，通过综合考量案发起因、是否为主要过错方、是否纠集他人参与打斗等情节，结合同年龄段未成年人在类似情境下的可能反应，准确判断行为人的主观意图和行为性质。不能仅因行为人面对霸凌时不甘示弱、使用工具反击等情节，就影响对其防卫意图的认定。　　2.对于防卫是否“明显超过必要限度”，应当立足防卫时的具体情境，从同年龄段未成年人一般认知的角度，综合学生霸凌中不法侵害的性质、手段、强度、危害后果和防卫的时机、手段、强度、损害后果等情节，考虑双方力量对比，作出合理判断。,mandatory,https://rmfyalk.court.gov.cn/view/content-juvenile.html?id=HnHWhqM1I86Tm%2BUitilLAb1QXJYcW9VBDN2Wv19fNf8%3D&lib=ck&source=zgy,"刑事,正当防卫,未成年人,学生霸凌,防卫意图,防卫限度",二审,first_instance,人民法院案例库-未成年,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
guiding_case_2626,2024-13-2-160-011,民事-专利权权属、侵权纠纷-2024-13-2-160-011,court_cc36c8792b01,2023-04-11,同一主体制造的不同产品可以组合使用，且组合使用才落入专利权保护范围的，应当依据使用时实际形成的技术方案，重点考虑该技术方案的形成系由消费者还是制造者决定，来确定侵权责任人。如果有关产品原本可以分别使用，但消费者根据自身需求，将其组合到一起使用，则一般可以认定该组合后产品的技术方案系由消费者决定，不应将制造者作为侵权责任人。如果有关产品无法分别使用而必须相互配合，消费者根据产品的特定结构、功能、使用说明等将其组合到一起使用，则一般可以认定该组合后产品的技术方案系由制造者决定，应将该制造者作为侵权责任人。,mandatory,https://rmfyalk.court.gov.cn,"民事,侵害发明专利权,可组合使用产品,被诉侵权产品,侵权技术比对",二审,second_instance,人民法院案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
guiding_case_714,2024-08-2-275-001,民事-损害股东利益责任纠纷-2024-08-2-275-001,court_b4be5544f1c8,2022-07-25,上市公司股票限制出售存在种种原因，其中之一是为了防止相关持股主体利用信息不对称等获取短期利益，损害上市公司及其他股东利益，冲击股票市场稳定。在限售股相关承诺已完成的情况下，受让人针对其在司法执行程序中取得的股票，要求上市公司配合办理解除限售手续，上市公司举示未曾公开的隐藏承诺进行对抗的，应当判令上市公司配合办理解禁并赔偿损失。,mandatory,https://rmfyalk.court.gov.cn,"民事,损害股东利益,承诺履行,解除限售,损害赔偿",二审,second_instance,人民法院案例库,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
